iter	RMSE
0	613712.5517
1	601366.4827
2	589670.202
3	577742.6993
4	565839.2024
5	554455.8471
6	543817.6076
7	532413.2693
8	522171.4873
9	511724.2657
10	501873.6278
11	492520.3782
12	483273.8449
13	474515.2244
14	465741.9088
15	456512.8806
16	448812.2991
17	440703.5864
18	432896.6092
19	425281.938
20	418049.1556
21	410882.2155
22	404182.1726
23	397376.7456
24	390799.7429
25	384056.4137
26	377564.284
27	371478.0144
28	364791.8199
29	358421.8187
30	352416.4881
31	346790.447
32	341766.1455
33	336440.98
34	331095.9537
35	325798.802
36	321226.8527
37	316565.3032
38	312145.4725
39	307270.5447
40	303506.1402
41	299444.8652
42	295402.4249
43	291131.0201
44	286989.2421
45	283380.8666
46	279235.2775
47	275429.8281
48	272235.9941
49	268865.7485
50	265514.3013
51	262422.4374
52	259422.1195
53	256372.2784
54	253384.1686
55	250109.9768
56	247220.1911
57	244358.64
58	241281.5885
59	238103.6625
60	235441.7419
61	232556.8355
62	229980.9651
63	227687.3628
64	225359.2071
65	222725.5353
66	220120.797
67	217729.1072
68	215464.4155
69	213528.8472
70	211484.9512
71	209442.0808
72	207386.9494
73	205419.8949
74	203386.5206
75	201444.9942
76	199336.3929
77	197367.873
78	195607.9666
79	193725.5612
80	192175.4744
81	190229.8037
82	188652.0672
83	187156.1013
84	185605.2886
85	183897.853
86	182447.4697
87	181069.6395
88	179418.0495
89	178104.7318
90	176798.7502
91	175370.7233
92	173985.6654
93	172811.0025
94	171805.8899
95	170175.4288
96	168991.3883
97	167520.1968
98	166272.6725
99	164982.1845
