iter	Passed	Remaining
0	7	746
1	14	699
2	20	657
3	26	640
4	34	654
5	41	644
6	49	654
7	56	649
8	64	647
9	70	636
10	78	631
11	85	625
12	85	574
13	93	575
14	102	583
15	110	582
16	119	583
17	127	582
18	137	587
19	145	582
20	154	581
21	162	575
22	169	567
23	176	557
24	185	555
25	193	549
26	200	541
27	208	535
28	215	528
29	222	518
30	228	509
31	236	501
32	242	492
33	249	483
34	254	473
35	260	463
36	266	454
37	273	446
38	280	438
39	287	430
40	293	422
41	299	413
42	305	405
43	312	397
44	320	391
45	327	384
46	334	376
47	343	371
48	355	370
49	367	367
50	379	365
51	389	359
52	402	356
53	412	351
54	422	345
55	432	340
56	533	402
57	553	400
58	563	391
59	572	381
60	580	370
61	586	359
62	594	349
63	596	335
64	606	326
65	615	317
66	623	307
67	630	296
68	636	285
69	644	276
70	651	265
71	657	255
72	663	245
73	670	235
74	676	225
75	682	215
76	689	206
77	696	196
78	702	186
79	708	177
80	715	167
81	721	158
82	728	149
83	734	139
84	741	130
85	748	121
86	755	112
87	762	103
88	770	95
89	776	86
90	783	77
91	789	68
92	796	59
93	802	51
94	803	42
95	810	33
96	816	25
97	824	16
98	831	8
99	842	0
